system:index,Pozo,anio,fecha,lluvia_mm_mes,mes,.geo
0_00000000000000000000,1,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
0_00000000000000000001,2A,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
0_00000000000000000002,2B,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
0_00000000000000000003,3,2020,2020-10-01,3.29839654173702,10,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
0_00000000000000000004,4,2020,2020-10-01,3.29839654173702,10,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
0_00000000000000000005,5,2020,2020-10-01,3.29839654173702,10,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
0_00000000000000000006,6,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
0_00000000000000000007,7,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
0_00000000000000000008,8,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
0_00000000000000000009,9,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
0_0000000000000000000a,10,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
0_0000000000000000000b,11,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
0_0000000000000000000c,13,2020,2020-10-01,3.29839654173702,10,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
0_0000000000000000000d,14,2020,2020-10-01,3.022116257721791,10,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
1_00000000000000000000,1,2020,2020-11-01,5.040929186157882,11,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
1_00000000000000000001,2A,2020,2020-11-01,5.040929186157882,11,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
1_00000000000000000002,2B,2020,2020-11-01,5.040929186157882,11,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
1_00000000000000000003,3,2020,2020-11-01,4.949871750548482,11,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
1_00000000000000000004,4,2020,2020-11-01,4.949871750548482,11,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
