system:index,ET_mm_mes,Pozo,anio,fecha,mes,.geo
0_00000000000000000000,120.4,1,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
0_00000000000000000001,112.60000000000001,2A,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
0_00000000000000000002,120.4,2B,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
0_00000000000000000003,120.4,3,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
0_00000000000000000004,120.4,4,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
0_00000000000000000005,120.4,5,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
0_00000000000000000006,120.4,6,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
0_00000000000000000007,119.9,7,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
0_00000000000000000008,119.9,8,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
0_00000000000000000009,120.5,9,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
0_0000000000000000000a,118.2,10,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
0_0000000000000000000b,118.2,11,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
0_0000000000000000000c,112.60000000000001,13,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
0_0000000000000000000d,116.9,14,2020,2020-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
1_00000000000000000000,74.8,1,2020,2020-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
1_00000000000000000001,72.30000000000001,2A,2020,2020-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
1_00000000000000000002,74.8,2B,2020,2020-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
1_00000000000000000003,74.8,3,2020,2020-11-01,11,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
1_00000000000000000004,74.8,4,2020,2020-11-01,11,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
1_00000000000000000005,74.8,5,2020,2020-11-01,11,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
1_00000000000000000006,74.8,6,2020,2020-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
