ID,X,Y,estado,brocal,elev,pendiente,flow_ac,densidad_drenaje,twi,dist_cost,dist_rio_m,ndvi,Prof_pozo,año,mes,lluviamensual_mm,ET_mensual,nivel_est,nivel_din,CE,pH,temperatura,salinidad,Resistividad,TDS,DO
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.59054595,23,2020,10,3.022116258,120.4,13.6,14.2,1016,7.4,26.8,0.4,986,1014,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.59054595,23,2020,11,5.040929186,74.8,13.67,14,999,7.4,25.8,0.4,1000,1001,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.59054595,23,2020,12,37.3601968,100.9,14.33,18,1048,7.4,26.7,0.5,955,1049,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.846,23,2021,1,92.49830076,119.2,14.38,18.9,1074,7,27.8,0.5,932,1074,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.846,23,2021,2,26.21319092,143.2,14.04,19.1,1466,7.1,27.5,0.7,682,1467,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.846,23,2021,5,73.77819899,129.4,11.8,12.4,1830,7.02,25.6,0.9,544,1831,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.846,23,2021,6,21.42005698,121.9,11.86,12.5,1830,7.02,25.6,0.9,544,1831,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.64674,23,2021,7,9.547013206,110.3,14.21,16.71,2800,7,25.8,1.4,358,2080,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.64674,23,2021,8,3.908299147,112.9,11.44,12.55,1351,7.5,25,0.6,741,1350,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.64674,23,2021,9,5.141252551,124.7,8.54,10.52,1024,7.49,24.6,0.5,976,1025,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.64674,23,2021,10,4.867684532,83.7,8.16,8.9,1077,7.53,25,0.5,928,1077,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.64674,23,2021,11,6.032251807,99,7.73,9.2,1013,7.62,23.9,0.4,987,1014,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.72087683,23,2022,1,91.23247107,122.4,8.05,9.15,1047,7.61,26.3,0.5,1167,857,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.72087683,23,2022,2,63.11757335,127.9,7.81,9.7,857,7.65,26.2,0.4,957,1044,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.72087683,23,2022,3,264.858764,125.5,8.78,9.97,823,7.6,27.8,0.3,1213,825,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.72087683,23,2022,4,35.61733086,97.6,8.9,10.23,986.1,7.72,28.2,0.4899,1014,491.9,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.72087683,23,2022,5,34.74055536,124.6,8.7,9.9,949,7.52,26,0.4,1054,949,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.5540839,23,2022,7,10.50599928,113.7,8.1,9.18,1442,7.51,24,0.3733,1311,382.5,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.5540839,23,2022,8,6.621302538,111.8,8.16,9.55,730,7.66,23.9,0.3,1369,397,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.8581466,23,2023,1,85.31855809,112.6,8.56,9.66,853,7.58,25.81,0.42,1200,428,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.8581466,23,2023,2,163.0360135,137,9,10.08,336.7,7.64,27.3,0.44,1139,444.1,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.8581466,23,2023,3,417.2208296,116.2,8.84,10.22,887,7.45,27.33,0.44,- ,446,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.8581466,23,2023,5,59.13157429,139.1,7.94,9.2,735,7.92,28.21,0.36,1400,367,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.8581466,23,2023,6,49.24421456,148.8,6.2,8.95,913,7.75,27.69,0.45,1100,456,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.7590799,23,2023,7,49.97112306,140,1.33,9.1,834,8.84,26.16,0.41,1200,417,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.7590799,23,2023,9,5.627230027,114.9,7.74,9.55,964,8.49,25.99,0.47,1000,482,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.7590799,23,2023,10,26.10413006,80.3,9.14,10.5,884,7.79,25.89,0.44,1100,447,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.7590799,23,2023,11,6.38019779,116.6,8.43,9.6,764,7.56,25.55,0.37,1300,382,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.7590799,23,2023,12,41.77705806,107,8.76,9.8,793,7.64,26.32,0.39,1400,397,
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.7116155,23,2024,2,223.5299338,136.2,8.06,9.34,631,7.61,27.03,0.31,1575,318,5.8
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.7116155,23,2024,4,26.89019034,132.4,,5.15,869,7.63,28.84,0.42,1151,435,2.1
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.7116155,23,2024,6,76.40349755,115.6,9.02,10.2,917,7.8,26.99,0.45,1100,459,38.2
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6170465,23,2024,7,12.90963347,108.5,8.75,9.9,1091,7.39,25.42,0.54,917,545,26.4
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6170465,23,2024,8,4.900201485,91.3,8.7,9.5,964,7.53,24.79,0.47,1037,482,27.7
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6170465,23,2024,9,16.87944495,87.4,8.8,10,1101,8.01,24.68,0.54,908,551,25.9
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6170465,23,2024,10,3.808305341,92,9.12,9.66,694,7.38,24.59,0.34,1441,347,67.3
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6170465,23,2024,11,24.46841919,70,8.52,6,721,7.51,24.56,0.35,1393,359,40.9
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6170465,23,2024,12,13.00091609,91,9.06,9.95,699,7.45,25.63,0.34,1431,349,34.2
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.826742,23,2025,1,45.2809187,112,10.28,11.13,707,7.59,26.54,0.34,1414,353,61.7
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.826742,23,2025,2,269.8200081,123.9,9.1,10.06,792,7.44,26.4,0.39,1263,396,30.9
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.826742,23,2025,3,361.3175697,132.3,7.85,9.05,794,7.14,26.67,0.39,1261,397,28.9
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.826742,23,2025,4,170.5698981,109,7.19,7.46,716,7.47,26.84,0.35,1397,358,27.3
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.826742,23,2025,5,43.8886717,134.5,7.83,8.22,885,7.6,26.94,0.43,1130,442,31.7
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.826742,23,2025,6,21.88190046,119.5,8.15,8.99,999,7.14,26.2,0.49,1001,499,32.1
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6955503,23,2025,7,19.70429209,118.4,8.05,8.76,1004,7.41,25.67,0.49,996,501,36.1
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6955503,23,2025,8,5.235461464,124.7,7.9,8.19,922,7.22,24.63,0.45,1086,461,49.1
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6955503,23,2025,9,6.330580033,101.7,8.08,8.93,877,7.36,24.64,0.43,1131,442,36.2
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6955503,23,2025,10,8.265491401,74.3,8,9.22,1614,7.03,24.41,0.81,620,6,52.1
1,527829,9802096,Operativo,0.71,12.43804621,9,2338.19,2.17,10.18,1393.346199,4.4,0.6955503,23,2025,11,6.186453841,107.7,7.62,8.63,1499,7.21,24.29,0.75,668,750,31
